Symbol,GICS Sector,Headquarters Location,Founded
CAG,Consumer Staples,"Chicago, Illinois",1919
COP,Energy,"Houston, Texas",2002
ED,Utilities,"New York City, New York",1823
STZ,Consumer Staples,"Victor, New York",1945
CEG,Utilities,"Baltimore, Maryland",1999
COO,Health Care,"San Ramon, California",1958
CPRT,Industrials,"Dallas, Texas",1982
GLW,Information Technology,"Corning, New York",1851
CTVA,Materials,"Wilmington, Delaware",2019
COST,Consumer Staples,"Issaquah, Washington",1976
CTRA,Energy,"Houston, Texas",2021 (1989)
CCI,Real Estate,"Houston, Texas",1994
CSX,Industrials,"Jacksonville, Florida",1980
CMI,Industrials,"Columbus, Indiana",1919
CVS,Health Care,"Woonsocket, Rhode Island",1996
DHI,Consumer Discretionary,"Arlington, Texas",1978
DHR,Health Care,"Washington, D.C.",1969
DRI,Consumer Discretionary,"Orlando, Florida",1938
DVA,Health Care,"Denver, Colorado",1979
DVA,Health Care,"Denver, Colorado",1979
DE,Industrials,"Moline, Illinois",1837
DAL,Industrials,"Atlanta, Georgia",1929
XRAY,Health Care,"Charlotte, North Carolina",2016 (1969)
XRAY,Health Care,"Charlotte, North Carolina",2016 (1969)
DVN,Energy,"Oklahoma City, Oklahoma",1971
DXCM,Health Care,"San Diego, California",1999
FANG,Energy,"Midland, Texas",2007
DLR,Real Estate,"Austin, Texas",2004
DFS,Financials,"Riverwoods, Illinois",1985
DISH,Communication Services,"Meridian, Colorado",1980
DIS,Communication Services,"Burbank, California",1923
DG,Consumer Discretionary,"Goodlettsville, Tennessee",1939
DLTR,Consumer Discretionary,"Chesapeake, Virginia",1986
D,Utilities,"Richmond, Virginia",1983
DPZ,Consumer Discretionary,"Ann Arbor, Michigan",1960
DOV,Industrials,"Downers Grove, Illinois",1955
DOW,Materials,"Midland, Michigan",2019
DOW,Materials,"Midland, Michigan",2019
DTE,Utilities,"Detroit, Michigan",1995
DUK,Utilities,"Charlotte, North Carolina",1904
DRE,Real Estate,"Indianapolis, Indiana",1972
DD,Materials,"Wilmington, Delaware",2017
DXC,Information Technology,"Tysons Corner, Virginia",2017
EMN,Materials,"Kingsport, Tennessee",1920
ETN,Industrials,"Dublin, Ireland",1911
EBAY,Consumer Discretionary,"San Jose, California",1995
ECL,Materials,"Saint Paul, Minnesota",1923
EIX,Utilities,"Rosemead, California",1886
EW,Health Care,"Irvine, California",1958
EA,Communication Services,"Redwood City, California",1982
ELV,Health Care,"Indianapolis, Indiana",2014 (1946)
LLY,Health Care,"Indianapolis, Indiana",1876
EMR,Industrials,"Ferguson, Missouri",1890
ENPH,Information Technology,"Fremont, California",2006
ETR,Utilities,"New Orleans, Louisiana",1913
EOG,Energy,"Houston, Texas",1999
EPAM,Information Technology,"Newtown, Pennsylvania",1993
EFX,Industrials,"Atlanta, Georgia",1899
EQIX,Real Estate,"Redwood City, California",1998
EQR,Real Estate,"Chicago, Illinois",1969
ESS,Real Estate,"San Mateo, California",1971
EL,Consumer Staples,"New York City, New York",1946
ETSY,Consumer Discretionary,"New York City, New York",2005
RE,Financials,"Hamilton, Bermuda",1973
EVRG,Utilities,"Kansas City, Missouri",1909
ES,Utilities,"Hartford, Connecticut",1966
EXC,Utilities,"Chicago, Illinois",2000
EXPE,Consumer Discretionary,"Seattle, Washington",1996
EXPD,Industrials,"Seattle, Washington",1979
EXR,Real Estate,"Salt Lake City, Utah",1977
XOM,Energy,"Irving, Texas",1999
FFIV,Information Technology,"Seattle, Washington",1996
FDS,Financials,"Norwalk, Connecticut",1978
FAST,Industrials,"Winona, Minnesota",1967
FRT,Real Estate,"Rockville, Maryland",1962
FDX,Industrials,"Memphis, Tennessee",1971
FITB,Financials,"Cincinnati, Ohio",1858
FRC,Financials,"San Francisco, California",1985
FE,Utilities,"Akron, Ohio",1997
FIS,Information Technology,"Jacksonville, Florida",1968
FISV,Information Technology,"Brookfield, Wisconsin",1984
FLT,Information Technology,"Atlanta, Georgia",2000
FMC,Materials,"Philadelphia, Pennsylvania",1883
F,Consumer Discretionary,"Dearborn, Michigan",1903
FTNT,Information Technology,"Sunnyvale, California",2000
FTV,Industrials,"Everett, Washington",2016
FBHS,Industrials,"Deerfield, Illinois",2011 (1969)
FOXA,Communication Services,"New York City, New York",2019
FOXA,Communication Services,"New York City, New York",2019
FOX,Communication Services,"New York City, New York",2019
FOX,Communication Services,"New York City, New York",2019
BEN,Financials,"San Mateo, California",1947
FCX,Materials,"Phoenix, Arizona",1912
GRMN,Consumer Discretionary,"Schaffhausen, Switzerland",1989
IT,Information Technology,"Stamford, Connecticut",1979
